id_covidence,doi,pmid,pmcid,link,study,published_year,journal,title
#9763,10.23736/s2724-606x.22.05148-x,36193832,,,Safrai 2024,2024,Minerva Obstet Gynecol,BNT162b2 COVID-19 vaccine does not affect fertility as explored in a pilot study of women undergoing IVF treatment
#4579,10.1080/21645515.2023.2190279,36919537,PMC10072113,,Amicizia 2023,2023,Hum Vaccin Immunother,Enhanced passive safety surveillance of the MF59-adjuvanted quadrivalent influenza vaccine in the elderly during the 2021/22 influenza season
#7509,10.1212/CPJ.0000000000200166,37251368,PMC10212233,,Kim 2023,2023,Neurology: Clinical Practice,"Observational Study of Patients Hospitalized With Neurologic Events After SARS-CoV-2 Vaccination, December 2020-June 2021"
#5965,10.1016/j.lanepe.2023.100628,37261212,PMC10091277,,Dulfer 2023,2023,The Lancet Regional Health - Europe,"Timing and sequence of vaccination against COVID-19 and influenza (TACTIC): a single-blind, placebo-controlled randomized clinical trial"
#8961,10.1007/s00246-023-03200-2,37294336,PMC10251331,,Nv 2024,2024,Pediatr Cardiol,Longitudinal Assessment of Left Ventricular Function in Patients with Myopericarditis After mRNA COVID-19 Vaccination
#12347,10.1097/wno.0000000000001900,37314860,,,Jaffry 2023,2023,J Neuroophthalmol,Optic Neuritis After COVID-19 Vaccination: An Analysis of the Vaccine Adverse Event Reporting System
#10548,10.1080/09273948.2023.2220782,37315304,,,Testi 2024,2024,Ocul Immunol Inflamm,Ocular Inflammatory Events Following COVID-19 Vaccination in the Paediatric Population: A Multinational Case Series
#8848,10.1016/j.jiac.2023.07.008,37481070,,,Nakashima 2023,2023,J Infect Chemother,Immunogenicity and safety of influenza vaccine in patients with lung cancer receiving immune checkpoint inhibitors: A single-center prospective cohort study
#9547,10.1097/aog.0000000000005279,37535959,,,Regan 2023,2023,Obstet Gynecol,Risk of Miscarriage in Relation to Seasonal Influenza Vaccination Before or During Pregnancy
#8735,10.1016/j.vaccine.2023.07.043,37544827,,,Moscara 2023,2023,Vaccine,Safety profile and SARS-CoV-2 breakthrough infections among HCWs receiving anti-SARS-CoV-2 and influenza vaccines simultaneously: an Italian observational study
#8678,10.1093/cid/ciad477,37584344,PMC10810716,,Mombelli 2024,2024,Clin Infect Dis,Immunogenicity of High-Dose Versus MF59-Adjuvanted Versus Standard Influenza Vaccine in Solid Organ Transplant Recipients: The Swiss/Spanish Trial in Solid Organ Transplantation on Prevention of Influenza (STOP-FLU Trial)
#10041,10.1186/s12979-023-00367-3,37644610,PMC10463383,,Shapiro 2023,2023,Immunity and Ageing,The intersection of biological sex and gender in adverse events following seasonal influenza vaccination in older adults
#12280,10.1001/jamaneurol.2023.2968,37669073,PMC10481324,,Grimaldi 2023,2023,JAMA Neurol,Vaccines and the Risk of Hospitalization for Multiple Sclerosis Flare-Ups
#6513,10.1001/jamanetworkopen.2023.32813,37682571,PMC10492184,,Gonen 2023,2023,JAMA Netw Open,Immunogenicity and Reactogenicity of Coadministration of COVID-19 and Influenza Vaccines
#8796,10.1007/s40121-023-00863-5,37698774,PMC10581992,,Murdoch 2023,2023,Infectious Diseases and Therapy,Safety and Immunogenicity of the BNT162b2 Vaccine Coadministered with Seasonal Inactivated Influenza Vaccine in Adults
#12733,10.1186/s12916-023-03064-6,37726711,PMC10510262,,Werner 2023,2023,BMC Med,Patient-reported reactogenicity and safety of COVID-19 vaccinations vs. comparator vaccinations: a comparative observational cohort study
#7899,10.1093/ibd/izad198,37773982,PMC11291623,,Lee 2024,2024,Inflamm Bowel Dis,Postvaccination Symptoms After a Fourth Dose of mRNA SARS-CoV-2 Vaccination in Patients With Inflammatory Bowel Disease
#8201,10.1186/s12889-023-16768-4,37784088,PMC10546661,,Lophatananon 2023,2023,BMC Public Health,The association of herpes zoster and influenza vaccinations with the risk of developing dementia: a population-based cohort study within the UK Clinical Practice Research Datalink
#7846,10.1212/wnl.0000000000207847,37788935,,,LeVu 2023,2023,Neurology,Risk of Guillain-Barré Syndrome Following COVID-19 Vaccines: A Nationwide Self-Controlled Case Series Study
#10236,10.1007/s40264-023-01356-7,37882905,,,Slingerland 2023,2023,Drug Saf,"The Effect of Sex on the Incidence, Latency, Duration and Perceived Burden of Adverse Events Following Seasonal Influenza Vaccination in the Netherlands"
#9345,10.3390/vaccines11101528,37896932,PMC10611124,,Poder 2023,2023,Vaccines,"Immunogenicity and Safety of MF59-Adjuvanted Quadrivalent Influenza Vaccine Compared with a Nonadjuvanted, Quadrivalent Influenza Vaccine in Adults 50–64 Years of Age"
#10102,10.3390/vaccines11101586,37896989,PMC10611167,,Shi 2023,2023,Vaccines,Immunogenicity and Safety of One versus Two Doses of Quadrivalent Inactivated Influenza Vaccine (IIV4) in Vaccine-Unprimed Children and One Dose of IIV4 in Vaccine-Primed Children Aged 3–8 Years
#8739,10.3390/vaccines11101624,37897026,PMC10610948,,Moss 2023,2023,Vaccines,Immunogenicity of Co-Administered Omicron BA.4/BA.5 Bivalent COVID-19 and Quadrivalent Seasonal Influenza Vaccines in Israel during the 2022–2023 Winter Season
