Record,Field,User,Datetime,Comment
1,ve_infant_vax_n,cdugdale.mgh.harvard.edu,"2025-07-25 20:26:57","Using this first set of fields for 90 day RSV-MA-LRTI"
1,ve_infant_vax_n_2,cdugdale.mgh.harvard.edu,"2025-07-25 20:30:57","These fields are for 180 day RSV-MA-LRTI"
1,ve_infant_vax_n_3,cdugdale.mgh.harvard.edu,"2025-07-25 20:33:30","These fields are for 90 day hospitalization"
1,ve_infant_vax_n_4,cdugdale.mgh.harvard.edu,"2025-07-25 20:35:03","These fields are for 180 day hospitalization"
1,ve_other_vax_n,cdugdale.mgh.harvard.edu,"2025-07-25 20:29:07","These fields are 240 day RSV-MA-LRTI"
1,ve_other_vax_n,cdugdale.mgh.harvard.edu,"2025-07-25 20:31:27",Updated
1,ve_other_vax_n_2,cdugdale.mgh.harvard.edu,"2025-07-25 20:32:26","These fields are for 360d RSV-MA-LRTI"
1,ve_other_vax_n_3,cdugdale.mgh.harvard.edu,"2025-07-25 20:34:16","These fields are for 360 day hospitalization"
5,domain,scottja.stanford.edu,"2025-07-27 21:53:21","Eric had checked AE and VE but I think the paper only covers VE."
5,nos_cc_4,ulric063,"2025-09-25 20:41:49","changed to no history of disease to align with guidance"
6,nos_coh_1,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 12:23:22","US military service members"
6,nos_coh_5,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 12:23:52","baseline characteristics and SARS-CoV-2 infection in pregnancy"
6,rob_outcome_ae,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 12:52:41","also SGA"
8,nos_coh_1,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 12:43:51","pregnant persons, though this sampled those receiving their care at Kaiser Permanente Northern California"
8,nos_coh_5,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 12:44:49","conditional logistic regression adjusting for infant sex, race, ethnicity, maternal age group, trimester of vaccination, comorbidities, BMI"
8,rob_outcome_ae,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 12:30:58","also: small for gestational age, stillbirth, placental abruption, congenital defects, preterm birth (< 37 weeks)"
10,ae_outcome1_em_type,emeyerowit.montefiore.org,"2025-07-26 15:25:07","propensity score"
10,ae_outcome1_em_type_2,emeyerowit.montefiore.org,"2025-07-26 15:23:25","Propensity score"
10,ae_outcome1_em_type_3,emeyerowit.montefiore.org,"2025-07-26 15:25:22","propensity score"
10,ae_outcome1_em_type_4,emeyerowit.montefiore.org,"2025-07-26 15:26:54","propensity score"
10,ae_outcome1_em_type_5,emeyerowit.montefiore.org,"2025-07-26 15:27:56","propensity score"
10,ae_outcome1_em_type_6,emeyerowit.montefiore.org,"2025-07-26 15:28:48","propensity score"
12,nos_cc_4,ulric063,"2025-09-25 20:44:44","Updated to no history of disease to align with guidance"
16,ae_incidence_yn,emeyerowit.montefiore.org,"2025-07-26 16:39:28","2 cases"
16,ae_incidence_yn_2,emeyerowit.montefiore.org,"2025-07-26 16:40:02","2 cases"
16,ae_incidence_yn_3,emeyerowit.montefiore.org,"2025-07-26 16:40:20","27 cases"
16,ae_incidence_yn_4,emeyerowit.montefiore.org,"2025-07-26 16:40:40","2 cases"
16,ae_incidence_yn_5,emeyerowit.montefiore.org,"2025-07-26 16:41:12","1 case"
16,ae_incidence_yn_6,emeyerowit.montefiore.org,"2025-07-26 16:41:34","1 case"
19,ae_outcome,scottja.stanford.edu,"2025-07-26 18:03:13","Outcome is Large for Gestational Age, but the preset list doesn't include LGA; no free‑text option available."
19,ae_outcome1_em_type,ncmccann.bu.edu,"2025-07-28 13:16:31","The odds ratio refers to comparison between COVID and flu- so not reported for flu vs. no vax."
19,ae_vax_type,ncmccann.bu.edu,"2025-07-28 13:42:53","Influenza vaccines, not specified"
19,domain_ae_include_vax,scottja.stanford.edu,"2025-07-27 20:32:27","unspecified influenza vaccine"
19,domain_ae_num,scottja.stanford.edu,"2025-07-27 20:36:46","The study compared events in the mRNA group to those who received influenza (comparator)."
19,domain_ae_num,ncmccann.bu.edu,"2025-07-28 12:43:54","Because mRNA is not disaggregated, I don't think we can use those results. But we can use the flu vax data"
19,virus,ncmccann.bu.edu,"2025-07-28 13:05:16","This paper collects COVID vax data, but we are excluding it because it does not disaggregate by product."
20,ae_incidence_yn,scottja.stanford.edu,"2025-08-05 01:22:59","This is a case-control study. Counts represent sampled cases and controls, not population-level incidence rates."
20,ae_incidence_yn_v2,scottja.stanford.edu,"2025-08-05 01:24:14","This is a case-control study. Counts represent sampled cases and controls, not population-level incidence rates"
21,nos_coh_1,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 13:02:09","individuals with two successive singleton live-birth pregnancies within integrated health organizations participating in Vaccine Safety Datalink which covers large insured US population"
21,nos_coh_5,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 13:04:28","adjusted for relevant covariates including age, race/ethnicity, behavioral factors, maternal comorbidities, history of adverse perinatal outcomes, timing of conception, calendar year of pregnancy, educational level, etc; adjusted for these in Poisson regression model to estimate RR"
21,rob_outcome_ae,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 12:58:18","also: placental abruption, prematurity, SGA"
22,ae_outcome1_em_type,scottja.stanford.edu,"2025-07-26 19:53:11","prevalence ratio"
22,ae_outcome1_em_value,ncmccann.bu.edu,"2025-07-28 14:01:43","Adjusted: 0.91, CI: 0.80-1.04"
22,ae_outcome1_em_value_v2,ncmccann.bu.edu,"2025-07-28 14:11:00","Adjusted: 0.88 (0.65 to 1.21)"
22,ae_outcome1_otherinfo_yn,scottja.stanford.edu,"2025-07-26 19:54:26","organ‑system sub‑analyses"
24,ae_outcome,emeyerowit.montefiore.org,"2025-07-26 20:40:53","Pregnancy loss - composite outcome including spontaneous miscarriage, death in utero, medical termination of pregnancy"
24,ae_outcome1_vax_n,emeyerowit.montefiore.org,"2025-07-26 20:39:20","82.2% of 938"
24,ae_outcome1_vax_n_v2,emeyerowit.montefiore.org,"2025-07-26 20:41:53","11.6% of 938"
24,rob_outcome_ae,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 13:25:55","also: congenital defects, stillbirth, miscarriage"
25,ae_outcome1_em_type,emeyerowit.montefiore.org,"2025-07-26 20:53:52","Relative Odds Ratio"
25,domain_ae_include_yn,emeyerowit.montefiore.org,"2025-07-26 20:49:50","Note that the study also reports rates of myocarditis for influenza vaccines"
25,nos_xs_1,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 13:42:07","no structured sampling strategy; the database is basically derived from spontaneous adverse event reports submitted to the WHO pharmacovigilance database, probably subject to reporting bias, underreporting, differential reporting by region, vaccine type, demographic factors, etc."
27,ae_outcome1_em_type,emeyerowit.montefiore.org,"2025-07-26 21:17:04","Odds ratio is for spina bifida - other odds ratios are available for some of the other defects"
27,ae_outcome1_vax_n,emeyerowit.montefiore.org,"2025-07-26 21:16:37","195+2033 = 2228 with defects. (4.1% vax = 91 defects)
1333 + 1360 = 2693 controls. (4.5% vax = 121 controls)"
27,nos_cc_6,ejholmes,"2025-08-29 14:57:49","Data on outcome (BD) medically abstracted and reviewed; Cases/controls are also interviewed (blinded)"
27,nos_cc_6,calba1.mgh.harvard.edu,"2025-09-03 12:54:13","Structured, blinded interview - leaving designation as is since one point is assigned regardless of (a) or (b) selection here"
27,nos_cc_8,ejholmes,"2025-08-29 15:02:45","BD-STEPS response rates reported similar between case-controls via NIH: https://pmc.ncbi.nlm.nih.gov/articles/PMC4537667/#:~:text=The%20birth%20population%20encompassed%20within,or%20after%20January%201%2C%202014."
27,nos_cc_8,calba1.mgh.harvard.edu,"2025-09-03 12:56:31","Unable to determine exposure for 4/210 cases (1.9%) and 112/1538 controls (7.2%)."
29,nos_coh_2,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 14:29:31","there was no comparator group?"
29,rob_outcome_epi,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 14:26:16","the study examined prevalence of post-acute sequelae of COVID after infection during pregnancy; ""seroprevalence"" is the closest term to prevalence that I found here"
30,ae_outcome1_otherinfo_yn,cdugdale.mgh.harvard.edu,"2025-07-26 20:29:02","Weighted HR: 0.83 (0.47-1.47)"
30,ae_outcome1_otherinfo_yn_2,cdugdale.mgh.harvard.edu,"2025-07-25 21:23:41","Weighted HR: 0.61 (0.50, 0.74)"
30,ae_outcome1_otherinfo_yn_3,cdugdale.mgh.harvard.edu,"2025-07-25 21:25:41","Weighted HR: 0.99 (0.76, 1.30)"
30,ae_outcome1_unvax_n,cdugdale.mgh.harvard.edu,"2025-07-26 20:28:02","Back calculated based on data in Table 2 on cumulative incidence and # events"
30,ae_outcome1_unvax_y_2,cdugdale.mgh.harvard.edu,"2025-07-25 21:23:02","Calculated from % in Table 2"
30,ae_outcome1_vax_n,cdugdale.mgh.harvard.edu,"2025-07-26 20:27:49","Back calculated based on data in Table 2 on cumulative incidence and # events"
30,ae_outcome1_vax_yes_2,cdugdale.mgh.harvard.edu,"2025-07-25 21:22:32","Calculated from % in table 2"
31,ae_outcome1_otherinfo_yn_2,cdugdale.mgh.harvard.edu,"2025-07-26 20:11:59","Weighted HR: 0.61 (0.50, 0.74)"
31,ae_outcome1_otherinfo_yn_3,cdugdale.mgh.harvard.edu,"2025-07-26 20:13:02","Weighted HR: 0.99 (0.76, 1.30)"
31,ae_outcome1_unvax_y_2,cdugdale.mgh.harvard.edu,"2025-07-26 20:11:32","Calculated from % in Table 2"
31,ae_outcome1_vax_yes_2,cdugdale.mgh.harvard.edu,"2025-07-26 20:11:12","Calculated from % in table 2"
32,ae_outcome1_em_type,scottja.stanford.edu,"2025-07-26 23:42:21","prevalence ratio"
32,domain_ae_num,scottja.stanford.edu,"2025-07-26 23:33:53","Study includes both BNT162b2 and mRNA‑1273, but primary safety analysis 
pools the two brands (no separate counts vs unvaccinated)."
33,ae_outcome1_em_type,scottja.stanford.edu,"2025-07-27 01:21:44","they compared to background rates"
33,ae_outcome1_em_value,scottja.stanford.edu,"2025-07-27 01:25:07","Registry prevalence of any major structural birth defect: 3.8 % (750/19 931 live births). Authors compare to pre-pandemic baseline;
no internal unvaccinated comparator; therefore no ratio entered."
33,ae_outcome1_otherinfo_yn,scottja.stanford.edu,"2025-07-27 01:26:05","Tthey stratified by < 14 vs >= 14 weeks vaccination"
33,domain_ae_num,scottja.stanford.edu,"2025-07-27 01:10:25","Pfizer‑BioNTech, Moderna, and Janssen - but products are pooled."
34,ae_incidence_yn,cdugdale.mgh.harvard.edu,"2025-07-25 21:06:08","Cannot calculate overall incidence from case-control design."
34,ae_incidence_yn_v2,cdugdale.mgh.harvard.edu,"2025-07-25 21:05:30","Cannot calculate overall incidence from a case-control study design."
34,ae_outcome,cdugdale.mgh.harvard.edu,"2025-07-25 20:54:47","Miscarriage/spontaneous abortion"
34,ae_outcome1_em_value,cdugdale.mgh.harvard.edu,"2025-07-25 21:01:46","Also has aOR: 0.97 (0.57-1.66)"
34,ae_outcome1_otherinfo_yn,cdugdale.mgh.harvard.edu,"2025-07-25 21:02:16","aOR 0.97 (0.57-1.66)"
34,ae_outcome1_otherinfo_yn_v2,cdugdale.mgh.harvard.edu,"2025-07-25 21:05:12","Crude OR: 0.69 (0.37-1.31)
aOR: 0.59 (0.29-1.19)"
34,date_end_month,cdugdale.mgh.harvard.edu,"2025-07-25 20:52:59","Exact month chosen based on spontaneous abortion dates rather than LMP"
34,nos_cc_8,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 14:10:56","Not explicitly described but it draws all cases and controls from electronic health records"
34,rob_outcome_ae,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 14:01:09","cases identified as those with spontaneous abortions"
35,ae_outcome1_disagg,scottja.stanford.edu,"2025-07-27 01:53:31","While the study disaggregates outcomes by age groups and also disaggregates by vaccine type (Pfizer/mRNA vs. AstraZeneca/viral-vector), it does not explicitly provide a table or specific numerical results for the Pfizer (BNT162b2) vaccine's outcomes further disaggregated by age group in the main text or figures."
35,ae_outcome1_otherinfo_yn,scottja.stanford.edu,"2025-07-27 01:51:44","The study further classified preterm birth into ""extremely and very preterm (24-31 wks)"" and ""moderate to late preterm (32-36 wks)"
35,domain_ae_num,scottja.stanford.edu,"2025-07-27 01:39:33","The study included data on ChAdOx1-S and BNT162b2; since we're not reviewing ChAdOx1-S data, I selected ""1"" product to only extract data for the BNT162b2 vaccine."
35,rob_outcome_ae,joseph.ladines-lim.pennmedicine.upenn.edu,"2025-08-29 13:51:06","also: SGA, stillbirth; venous thromboembolism as well though this is not listed as an adverse event of interest in RedCap"
38,rob2_result1,nebasta,"2025-09-05 21:23:15","Authors called this a ""post-hoc exploratory analysis"""
38,ve_outcome_prime,stodd046,"2025-07-28 18:13:33","Should this be medically-attended infection instead of other?"
38,ve_overall_em,harleen.k.marwah.gmail.com,"2025-07-26 23:09:51","The cumulative incidence of RSV infections from swabs collected due to suspected LRTI was lower with nirsevimab versus placebo at day 151 (Δ −5.6; Figure 1A); this difference increased slightly at day 361 (Δ −5.9) and day 511 (Δ −6.4)."
39,ae_outcome1_vax_y,emeyerowit.montefiore.org,"2025-08-04 21:35:23","Note 1 ""cardiac disorder"" noted in part 2 group in supplement, but they say 0 cases of myocarditis identified in the study overall so must have been deemed to not be myocarditis"
39,ae_vax_type,emeyerowit.montefiore.org,"2025-08-04 21:34:41","technically mRNA-1273.214 vaccine which was for BA1 variant"
39,domain_ae_include_vax,harleen.k.marwah.gmail.com,"2025-07-26 23:45:17",mRNA-1273.214
40,rob_reviewer1,ulric063,"2025-09-27 07:30:13","Automatically marked as high risk based on no comparator"
41,rob2_interv2,ulric063,"2025-09-19 16:52:21","Single blind study - no specific information regarding who was unblinded"
41,rob2_interv6,ulric063,"2025-09-19 16:54:20","""All the subjects who were administered the vaccine were considered for the safety evaluation."" Each of the two study arms received vaccine."
43,rob_screen2,nebasta,"2025-09-05 22:22:18","randomized phase I trial"
43,rob2_interv6,nebasta,"2025-09-05 22:27:23","Guidance indicates: ""nd 'as treated' analyses (in which trial participants are grouped according to the intervention that they received, rather than according to their assigned intervention) should be considered inappropriate."" Study reports ""Safety analyses were conducted using the as-treated population, which included all randomized participants who received nirsevimab or placebo; participants were analyzed based on the actual treatment received."""
43,rob2_random3,nebasta,"2025-09-05 22:24:01","sample size is very small (n=24), so some imbalance even with randomization"
