"Record ID","Domain(s) covered in the article (choice=Adverse events (vaccine safety))","Domain(s) covered in the article (choice=Vaccine effectiveness)","Domain(s) covered in the article (choice=Co-administration)","Domain(s) covered in the article (choice=Epidemiology)"
1,Checked,Checked,Unchecked,Unchecked
2,Checked,Checked,Unchecked,Unchecked
3,Unchecked,Unchecked,Unchecked,Unchecked
4,Checked,Unchecked,Unchecked,Unchecked
5,Unchecked,Checked,Unchecked,Unchecked
6,Checked,Unchecked,Unchecked,Unchecked
7,Unchecked,Unchecked,Unchecked,Checked
8,Checked,Unchecked,Unchecked,Unchecked
9,Checked,Unchecked,Unchecked,Unchecked
10,Checked,Unchecked,Unchecked,Unchecked
11,Unchecked,Checked,Unchecked,Unchecked
12,Unchecked,Checked,Unchecked,Unchecked
13,Checked,Unchecked,Unchecked,Unchecked
14,Unchecked,Checked,Unchecked,Unchecked
15,Checked,Unchecked,Unchecked,Unchecked
16,Checked,Unchecked,Unchecked,Unchecked
17,Checked,Unchecked,Unchecked,Unchecked
18,Checked,Unchecked,Unchecked,Unchecked
19,Checked,Unchecked,Unchecked,Unchecked
20,Checked,Unchecked,Unchecked,Unchecked
21,Checked,Unchecked,Unchecked,Unchecked
22,Checked,Unchecked,Unchecked,Unchecked
23,Checked,Unchecked,Unchecked,Unchecked
24,Checked,Unchecked,Unchecked,Unchecked
25,Checked,Unchecked,Unchecked,Unchecked
26,Checked,Unchecked,Unchecked,Unchecked
27,Checked,Unchecked,Unchecked,Unchecked
28,Checked,Unchecked,Unchecked,Unchecked
29,Unchecked,Unchecked,Unchecked,Checked
30,Checked,Unchecked,Unchecked,Unchecked
31,Checked,Unchecked,Unchecked,Unchecked
32,Checked,Unchecked,Unchecked,Unchecked
33,Checked,Unchecked,Unchecked,Unchecked
34,Checked,Unchecked,Unchecked,Unchecked
35,Checked,Unchecked,Unchecked,Unchecked
36,Checked,Unchecked,Unchecked,Unchecked
37,Checked,Unchecked,Unchecked,Unchecked
38,Unchecked,Checked,Unchecked,Unchecked
39,Checked,Unchecked,Unchecked,Unchecked
40,Checked,Unchecked,Unchecked,Unchecked
41,Checked,Unchecked,Unchecked,Unchecked
42,Checked,Unchecked,Unchecked,Unchecked
43,Checked,Unchecked,Unchecked,Unchecked
44,Unchecked,Checked,Unchecked,Unchecked
45,Checked,Unchecked,Unchecked,Unchecked
46,Checked,Unchecked,Unchecked,Unchecked
47,Checked,Unchecked,Unchecked,Unchecked
48,Unchecked,Unchecked,Unchecked,Unchecked
49,Unchecked,Checked,Unchecked,Unchecked
50,Unchecked,Unchecked,Unchecked,Checked
51,Unchecked,Checked,Unchecked,Unchecked
52,Unchecked,Checked,Unchecked,Unchecked
53,Checked,Unchecked,Unchecked,Unchecked
54,Unchecked,Checked,Unchecked,Unchecked
