"Record ID","Study label","Overall risk of bias category incorporating domain-specific scores for CC and Cohort studies"
1,#9075,"LOW (0)"
2,#3443,"LOW (0)"
4,#6167,"LOW (0)"
5,#21721,"LOW (0)"
6,#1471,"LOW (0)"
7,#6794,"LOW (0)"
8,#6950,"LOW (0)"
10,_#2063,"LOW (0)"
11,#9276,"LOW (0)"
12,#23773,"LOW (0)"
13,#10470,"LOW (0)"
15,#4454,"HIGH (2)"
16,_#116,"HIGH (2)"
18,#5488,"LOW (0)"
19,#782,"HIGH (2)"
20,#5806,"LOW (0)"
21,#6443,"LOW (0)"
22,#15755,"LOW (0)"
24,#2008,"HIGH (2)"
25,#16358,"HIGH (2)"
26,#8321,"LOW (0)"
27,#2339,"LOW (0)"
28,#8569,"LOW (0)"
29,#8588,"LOW (0)"
30,#9547,"MODERATE/SOME CONCERNS(1)"
31,#9546,"LOW (0)"
34,#3394,"LOW (0)"
35,#10424,"LOW (0)"
37,#3980,"HIGH (2)"
38,#4651,"MODERATE/SOME CONCERNS(1)"
39,#5870,"HIGH (2)"
40,#21593,"HIGH (2)"
41,#1605,"LOW (0)"
42,#7666,"LOW (0)"
43,#2376,"HIGH (2)"
44,#2631,"LOW (0)"
45,#2667,"LOW (0)"
46,#10945,"MODERATE/SOME CONCERNS(1)"
47,#428,"LOW (0)"
49,#4486,"HIGH (2)"
50,#20369,"MODERATE/SOME CONCERNS(1)"
51,#13170,"LOW (0)"
52,#4837,"LOW (0)"
53,#4960,"HIGH (2)"
57,#5255,"LOW (0)"
58,#633,"HIGH (2)"
59,#5520,"HIGH (2)"
60,#5560,"LOW (0)"
61,#28053,"LOW (0)"
62,#21167,"LOW (0)"
63,#5883,"HIGH (2)"
64,#6030,"HIGH (2)"
65,#1130,"HIGH (2)"
66,#1181,"MODERATE/SOME CONCERNS(1)"
67,#1407,"MODERATE/SOME CONCERNS(1)"
68,#1574,"HIGH (2)"
69,#1900,"LOW (0)"
70,#7737,"HIGH (2)"
72,#7891,"LOW (0)"
73,#2068,"LOW (0)"
74,#7907,"LOW (0)"
75,#8011,"HIGH (2)"
76,#22825,"HIGH (2)"
77,#2222,"HIGH (2)"
78,#16794,"HIGH (2)"
79,#11770,"HIGH (2)"
81,#2559,"MODERATE/SOME CONCERNS(1)"
82,#8693,"HIGH (2)"
83,#2751,"LOW (0)"
85,#2768,"HIGH (2)"
87,#2916,"LOW (0)"
88,#2957,"LOW (0)"
89,#2956,"LOW (0)"
90,#9295,"HIGH (2)"
92,#23868,"HIGH (2)"
94,#3135,"LOW (0)"
95,#3137,"MODERATE/SOME CONCERNS(1)"
97,#10102,"MODERATE/SOME CONCERNS(1)"
98,#10114,"LOW (0)"
99,#24371,"LOW (0)"
