"id_redcap","id_covidence","article","virus","covid","rsv","flu","population","preg","infant","child","adult","elder","immunocomp","rob","study_design","published_year","journal","pmid","pmcid","doi","link","title"
1,"#9075","Otsuki 2024","RSV",0,1,0,"Pediatric",1,1,0,0,0,0,"Low","RCT",2024,"Vaccine",38853036,,"10.1016/j.vaccine.2024.06.009","https://pubmed.ncbi.nlm.nih.gov/38853036","Efficacy and safety of bivalent RSVpreF maternal vaccination to prevent RSV illness in Japanese infants: Subset analysis from the pivotal randomized phase 3 MATISSE trial"
1,"#9075","Otsuki 2024","RSV",0,1,0,"Pregnant",1,1,0,0,0,0,"Low","RCT",2024,"Vaccine",38853036,,"10.1016/j.vaccine.2024.06.009","https://pubmed.ncbi.nlm.nih.gov/38853036","Efficacy and safety of bivalent RSVpreF maternal vaccination to prevent RSV illness in Japanese infants: Subset analysis from the pivotal randomized phase 3 MATISSE trial"
2,"#3443","Simoes 2025","RSV",0,1,0,"Pregnant",1,0,0,0,0,0,"Low","RCT",2025,"Obstet Gynecol",39746212,,"10.1097/aog.0000000000005816","https://pubmed.ncbi.nlm.nih.gov/39746212","Efficacy, Safety, and Immunogenicity of the MATISSE (Maternal Immunization Study for Safety and Efficacy) Maternal Respiratory Syncytial Virus Prefusion F Protein Vaccine Trial"
4,"#6167","Fell 2024","Influenza",0,0,1,"Pediatric",0,1,0,0,0,0,"Low","Case-control",2024,"J Infect Dis",39052720,"PMC11272077","10.1093/infdis/jiad539","https://pmc.ncbi.nlm.nih.gov/articles/PMC11272077","Effectiveness of Influenza Vaccination During Pregnancy Against Laboratory-Confirmed Seasonal Influenza Among Infants Under 6 Months of Age in Ontario, Canada"
5,"#21721","Gentile 2025","RSV",0,1,0,"Pediatric",0,1,0,0,0,0,"Low","Case-control",2025,"Pediatr Infect Dis J",40440704,,"10.1097/inf.0000000000004878","https://pubmed.ncbi.nlm.nih.gov/40440704","Maternal Immunization With RSVpreF Vaccine: Effectiveness in Preventing Respiratory Syncytial Virus-associated Hospitalizations in Infants Under 6 Months in Argentina: Multicenter Case-control Study"
6,"#1471","Hall 2025","COVID",1,0,0,"Pregnant",1,0,0,0,0,0,"Low","Cohort",2025,"Vaccine",39970594,,"10.1016/j.vaccine.2025.126894","https://pubmed.ncbi.nlm.nih.gov/39970594","COVID-19 vaccine initiation in pregnancy and risk for adverse neonatal outcomes among United States military service members, January-December 2021"
7,"#6794","Havers 2024","COVID",1,0,0,"Pediatric",0,1,0,0,0,0,"Low","Observational - other",2024,"MMWR Morb Mortal Wkly Rep",39325677,"PMC11563568","10.15585/mmwr.mm7338a1","https://pmc.ncbi.nlm.nih.gov/articles/PMC11563568","COVID-19-Associated Hospitalizations and Maternal Vaccination Among Infants Aged <6 Months - COVID-NET, 12 States, October 2022-April 2024"
8,"#6950","Hsiao 2024","Influenza",0,0,1,"Pregnant",1,0,0,0,0,0,"Low","Cohort",2024,"AJOG Global Reports",39512761,"PMC11541679","10.1016/j.xagr.2024.100395","https://pmc.ncbi.nlm.nih.gov/articles/PMC11541679","Safety of quadrivalent recombinant influenza vaccine in pregnant persons and their infants"
10,"_#2063","Lee 2025","Influenza",0,0,1,"Pregnant",1,0,0,0,0,0,"Low","Cohort",2025,"Clin Pharmacol Ther",39854110,,"10.1002/cpt.3565","https://pubmed.ncbi.nlm.nih.gov/39854110","Association of Influenza Vaccination During Pregnancy with Health Outcomes in Mothers and Children: A Population-Based Cohort Study"
11,"#9276","Perez-Gimeno 2024","Influenza",0,0,1,"Pediatric",0,0,1,0,0,0,"Low","Case-control",2024,"Euro Surveill",39364601,,"10.2807/1560-7917.Es.2024.29.40.2400618","https://pubmed.ncbi.nlm.nih.gov/39364601","Effectiveness of influenza vaccines in children aged 6 to 59 months: a test-negative case-control study at primary care and hospital level, Spain 2023/24"
12,"#23773","Perez Marc 2025","RSV",0,1,0,"Pediatric",0,1,0,0,0,0,"Low","Case-control",2025,"Lancet Infect Dis",40339585,,"10.1016/s1473-3099(25)00156-2","https://pubmed.ncbi.nlm.nih.gov/40339585","Real-world effectiveness of RSVpreF vaccination during pregnancy against RSV-associated lower respiratory tract disease leading to hospitalisation in infants during the 2024 RSV season in Argentina (BERNI study): a multicentre, retrospective, test-negative, case-control study"
13,"#10470","Tamir-Hostovsky 2024","COVID",1,0,0,"Pediatric",0,1,0,0,0,0,"Low","Case-control",2024,"Acta Paediatr",38923614,,"10.1111/apa.17329","https://pubmed.ncbi.nlm.nih.gov/38923614","Association of BNT162b2 SARS-CoV-2 vaccination during pregnancy with postnatal outcomes in premature infants"
14,"#3965","Williams 2025","RSV",0,1,0,"Pediatric",0,1,0,0,0,0,"Low","Case-control",2025,"Lancet Child Adolesc Health",40690922,,"10.1016/S2352-4642(25)00155-5","https://pubmed.ncbi.nlm.nih.gov/40690922","Bivalent Prefusion F Vaccination in Pregnancy and Respiratory Syncytial Virus Hospitalisation in Infants: Results of a Prospective, Multi-Centre, Test-Negative Study"
15,"#4454","Al-Haddad 2024","COVID",1,0,0,"Adult",0,0,0,1,0,0,"High","Observational - other",2024,"Health Science Reports",38784253,"PMC11112633","10.1002/hsr2.2142","https://pmc.ncbi.nlm.nih.gov/articles/PMC11112633","The impact of SARS-CoV-2 mRNA vaccine on intracytoplasmic sperm injection outcomes at a fertility center in Iraq: A prospective cohort study"
16,"_#116","Alami 2025","RSV",0,1,0,"Pregnant",1,0,0,0,0,0,"High","Observational - other",2025,"BMJ Open",40187782,"PMC11973799","10.1136/bmjopen-2024-087850","https://pmc.ncbi.nlm.nih.gov/articles/PMC11973799","Safety surveillance of respiratory syncytial virus (RSV) vaccine among pregnant individuals: a real-world pharmacovigilance study using the Vaccine Adverse Event Reporting System"
18,"#5488","Choi 2024","COVID",1,0,0,"Pediatric",0,0,1,1,1,0,"Low","Observational - other",2024,"Eur Heart J",38993069,,"10.1093/eurheartj/ehae335","https://pubmed.ncbi.nlm.nih.gov/38993069","Thromboembolism after coronavirus disease 2019 vaccination in atrial fibrillation/flutter: a self-controlled case series study"
18,"#5488","Choi 2024","COVID",1,0,0,"Adult",0,0,1,1,1,0,"Low","Observational - other",2024,"Eur Heart J",38993069,,"10.1093/eurheartj/ehae335","https://pubmed.ncbi.nlm.nih.gov/38993069","Thromboembolism after coronavirus disease 2019 vaccination in atrial fibrillation/flutter: a self-controlled case series study"
19,"#782","Choi 2025","Influenza",0,0,1,"Pregnant",1,0,0,0,0,0,"High","Observational - other",2025,"Vaccine",39591703,,"10.1016/j.vaccine.2024.126506","https://pubmed.ncbi.nlm.nih.gov/39591703","The risk of pregnancy-related adverse outcomes after COVID-19 vaccination: Propensity score-matched analysis with influenza vaccination"
