"id_redcap","id_covidence","study_label","article","virus","population","outcome","study_design","rob","adjusted","estimate","lower","upper","country","us","study_setting","study_period","year_start","year_end","vax_product","age_group","days_since_vax","published_year","journal","pmid","pmcid","doi","link","title"
101,"#19017","Tartof 2024","Tartof 2024","COVID","Adult/Elder","Hospitalization","Case-control","Low",1,57,45,66,"US",1,"Kaiser Permanente Southern California","2023-2024",2023,2024,"BNT162b2_XBB.1.5",,,2024,"JAMA Netw Open",39666343,"PMC11638790","10.1001/jamanetworkopen.2024.49944","https://pmc.ncbi.nlm.nih.gov/articles/PMC11638790","BNT162b2 XBB Vaccine for COVID-19 Among Children 5-17 Years of Age"
405,"#2106","Levy 2025","Levy 2025","COVID","Adult/Elder","Hospitalization","Case-control","High",1,52,34,64,"US",1,"Multi-center","2023-2024",2023,2024,"mRNA XBB1.5 booster",,,2025,"Front Immunol",40034704,"PMC11872700","10.3389/fimmu.2025.1470609","https://pmc.ncbi.nlm.nih.gov/articles/PMC11872700","XBB.1.5 mRNA COVID-19 vaccine protection against inpatient or emergency department visits among adults infected with SARS-CoV-2 JN.1 and XBB-lineage variants"
227,"#5200","Caffrey 2024","Caffrey 2024","COVID","Adult/Elder","Hospitalization","Case-control","Low",1,43,34,51,"US",1,"Nationwide (VAMC)","2023-2024",2023,2024,"BNT162b2_XBB.1.5",,,2024,"Nat Commun",39488521,"PMC11531596","10.1038/s41467-024-53842-w","https://pmc.ncbi.nlm.nih.gov/articles/PMC11531596","Effectiveness of BNT162b2 XBB vaccine in the US Veterans Affairs Healthcare System"
470,"#23468","Nguyen 2025","Nguyen 2025","COVID","Adult/Elder","Hospitalization","Case-control","Low",1,54,38,65,"Belgium, Germany, Italy, Spain",0,"Multi-center","2023-2024",2023,2024,"BNT162b2_XBB.1.5",,,2025,"EClinicalMedicine",39726669,"PMC11669791","10.1016/j.eclinm.2024.102995","https://pmc.ncbi.nlm.nih.gov/articles/PMC11669791","Effectiveness of the BNT162b2 XBB.1.5-adapted vaccine against COVID-19 hospitalization related to the JN.1 variant in Europe: a test-negative case-control study using the id.DRIVE platform"
189,"#202","Andersen 2025","Andersen 2025","COVID","Adult/Elder","Hospitalization","Cohort","Low",1,36,18,50,"US",1,"Multi-center","2023-2024",2023,2024,"mRNA XBB1.5",,,2025,"Vaccine",39987879,,"10.1016/j.vaccine.2025.126881","https://pubmed.ncbi.nlm.nih.gov/39987879","Effectiveness of BNT162b2 XBB.1.5 vaccine in immunocompetent adults using tokenization in two U.S. states"
587,"#40038","Wilson 2025","Wilson 2025","COVID","Adult/Elder","Hospitalization","Cohort","Low",1,51,48,54,"US",1,"Multi-center","2023-2024",2023,2024,"mRNA XBB1.5",,,2025,"Infect Dis Ther",39708059,,"10.1101/2025.03.27.25324770v1","https://pubmed.ncbi.nlm.nih.gov/39708059","Evaluating the Effectiveness of 2024-2025 Seasonal mRNA-1273 Vaccination Against COVID-19-Associated Hospitalizations and Medically Attended COVID-19 among adults aged  18 years in the United States"
252,"#5494","Chong 2024","Chong 2024","COVID","Adult/Elder","Hospitalization","Cohort","Low",1,42,9,63,"Singapore",0,"Nationwide","2023-2024",2023,2024,"mRNA XBB1.5",,,2024,"Clin Infect Dis",38922669,,"10.1093/cid/ciae339","https://pubmed.ncbi.nlm.nih.gov/38922669","Risks of SARS-CoV-2 JN.1 Infection and COVID-19-Associated Emergency Department Visits/Hospitalizations Following Updated Boosters and Prior Infection: A Population-Based Cohort Study"
190,"#13126","Andersson 2024","Andersson 2024","COVID","Elder","Hospitalization","Cohort","Low",1,57.9,49.9,65.8,"Denmark, Sweden, Finland",0,"Multi-center","2023-2024",2023,2024,"mRNA XBB1.5",,,2024,"BMJ Med",39902239,"PMC11789462","10.1136/bmjmed-2024-001074","https://pmc.ncbi.nlm.nih.gov/articles/PMC11789462","Comparative effectiveness of monovalent XBB.1.5 containing covid-19 mRNA vaccines in Denmark, Finland, and Sweden: target trial emulation based on registry data"
587,"#40038","Wilson 2025","Wilson 2025","COVID","Elder","Hospitalization","Cohort","Low",1,56,51,61,"US",1,"Multi-center","2023-2024",2023,2024,"mRNA XBB1.5",,,2025,"Infect Dis Ther",39708059,,"10.1101/2025.03.27.25324770v1","https://pubmed.ncbi.nlm.nih.gov/39708059","Evaluating the Effectiveness of 2024-2025 Seasonal mRNA-1273 Vaccination Against COVID-19-Associated Hospitalizations and Medically Attended COVID-19 among adults aged  18 years in the United States"
189,"#202","Andersen 2025","Andersen 2025","COVID","Elder","Hospitalization","Cohort","Low",1,47,28,61,"US",1,"Multi-center","2023-2024",2023,2024,"mRNA XBB1.5",,,2025,"Vaccine",39987879,,"10.1016/j.vaccine.2025.126881","https://pubmed.ncbi.nlm.nih.gov/39987879","Effectiveness of BNT162b2 XBB.1.5 vaccine in immunocompetent adults using tokenization in two U.S. states"
227,"#5200","Caffrey 2024","Caffrey 2024","COVID","Immunocompromised","Hospitalization","Case-control","Low",1,33,16,47,"US",1,"Nationwide (VAMC)","2023-2024",2023,2024,"BNT162b2 XBB","≥18y","15-133 d",2024,"Nat Commun",39488521,"PMC11531596","10.1038/s41467-024-53842-w","https://pmc.ncbi.nlm.nih.gov/articles/PMC11531596","Effectiveness of BNT162b2 XBB vaccine in the US Veterans Affairs Healthcare System"
